domain,application,version,users,AMU,AHYU,posts
mastodon.becking.saarland,mastodon,4.1.4,1,1,1,16
social.foltran.dev,mastodon,4.1.4,1,1,1,1
social.lond.com.br,mastodon,4.1.8-donte,1,1,1,35
mastodon.secnd.me,mastodon,4.1.2,1,0,1,3
social.sergeant.net,mastodon,4.2.1,4,2,3,420
mastodon.naiveapps.com,mastodon,4.2.1,2,2,2,9
social.niyawe.de,mastodon,4.2.1,8,4,6,188
social.sonck.nl,mastodon,4.0.2,1,0,1,0
mastodon.inreach.net,mastodon,4.2.1,2,0,2,11
social.joelwatts.com,mastodon,4.1.1,1,0,0,0
mastodon.flopnet.eu,mastodon,4.0.2,3,0,0,0
social.routing.rocks,mastodon,4.2.0,1,1,1,48
mastodon.7sdre.am,mastodon,4.2.1,3,1,3,27
mastodon.datablob.de,mastodon,4.1.10,1,1,1,58
mstdn.restall.io,mastodon,4.1.3,1,0,1,3
mastodon.poukpouk.com,mastodon,4.1.10,1,1,1,0
mastodon.ccqjv.com,mastodon,4.2.1,2,2,2,4
mastodon.nnn1590.org,mastodon,4.2.0,3,1,1,276
web.twistme.in,mastodon,3.5.3,8,0,1,100
toot.teh.dog,mastodon,4.0.2,2,0,1,1
rofl.im,mastodon,4.1.4,4,0,4,19
pippo.dev,mastodon,3.5.3,1,0,0,2
xforum.dev,mastodon,4.2.1,1,1,1,0
drykath.red,mastodon,4.1.6,2,1,2,1
wanderlust.im,mastodon,4.0.2,3,0,0,8
mastodon.esparrec.net,mastodon,4.1.9,2,1,2,10
mastodon.baconpotato.net,mastodon,3.3.0rc3,14,1,1,5455
mastodon.mongoot.synology.me,mastodon,4.1.2,2,0,2,11
hatedon.1984.cz,mastodon,4.0.2,6,1,3,60
kuicker.koogle.sk,mastodon,4.2.0,74,2,38,91
brgrealty.ap.social,mastodon,4.1.4,1,0,1,3
mastodon.perso.org,mastodon,4.1.2,2,0,2,0
ifi.sh,mastodon,4.2.0,1,1,1,0
quasisocial.lone-starr.net,mastodon,4.1.2,1,0,1,0
barkoczy.social,mastodon,4.1.4,516,29,466,185
gamelan.social,mastodon,4.2.1,1,0,0,0
singlecell.social,mastodon,4.2.0,2,0,0,0
mastodon.spotfestival.dk,mastodon,4.2.0,3,3,3,1
wjlafrance.net,mastodon,4.0.2,2,0,0,1
azad.masto.host,mastodon,4.2.1,17,1,1,221
groups.atelier-des-communs.fr,mastodon,3.2.1-qoto,3,0,0,3
net.mastodontrends.com,mastodon,3.5.3,2,0,0,16
exmormon.social,mastodon,4.1.9,6,2,5,2509
mstdn-vrchat.com,mastodon,4.0.2,1,1,1,47
pleroma.raluy.fr,pleroma,2.5.52-226-g93ad16cc,4,3,3,9
shotgunlife.social,mastodon,4.2.0,48,82,89,1824
social.lifetime.academy,mastodon,4.2.1,2,0,0,20
